ticker,company,fiscal_quarter,report_date,time,status,notes
MRVL,Marvell Technology,Q1 FY2027,2026-05-27,AMC,estimated,Q1 FY2027 — 4月季度；AI ASIC
MRVL,Marvell Technology,Q2 FY2027,2026-08-27,AMC,estimated,Q2 FY2027
INTC,Intel,Q1 2026,2026-04-24,AMC,reported,Q1 2026 日历季度
INTC,Intel,Q2 2026,2026-07-23,AMC,estimated,Q2 2026 日历季度
QCOM,Qualcomm,Q2 FY2026,2026-04-23,AMC,reported,Q2 FY2026 — 3月季度
QCOM,Qualcomm,Q3 FY2026,2026-07-22,AMC,estimated,Q3 FY2026
ASML,ASML Holding,Q1 2026,2026-04-16,BMO,reported,Q1 2026 日历季度；EUV订单关键
ASML,ASML Holding,Q2 2026,2026-07-15,BMO,estimated,Q2 2026 日历季度
AMAT,Applied Materials,Q2 FY2026,2026-05-14,AMC,reported,Q2 FY2026 — 4月季度
AMAT,Applied Materials,Q3 FY2026,2026-08-13,AMC,estimated,Q3 FY2026
LRCX,Lam Research,Q3 FY2026,2026-04-22,AMC,reported,Q3 FY2026 — 3月季度
LRCX,Lam Research,Q4 FY2026,2026-07-22,AMC,estimated,Q4 FY2026
KLAC,KLA Corporation,Q3 FY2026,2026-05-06,AMC,reported,Q3 FY2026 — 3月季度
KLAC,KLA Corporation,Q4 FY2026,2026-08-05,AMC,estimated,Q4 FY2026
MU,Micron Technology,Q3 FY2026,2026-06-24,AMC,estimated,Q3 FY2026 — 5月季度；HBM需求
MU,Micron Technology,Q4 FY2026,2026-09-24,AMC,estimated,Q4 FY2026
JPM,JPMorgan Chase,Q1 2026,2026-04-11,BMO,reported,Q1 2026 日历季度
JPM,JPMorgan Chase,Q2 2026,2026-07-14,BMO,confirmed,Q2 2026 日历季度
JPM,JPMorgan Chase,Q3 2026,2026-10-09,BMO,estimated,Q3 2026 日历季度
GS,Goldman Sachs,Q1 2026,2026-04-14,BMO,reported,Q1 2026 日历季度
GS,Goldman Sachs,Q2 2026,2026-07-15,BMO,estimated,Q2 2026 日历季度
GS,Goldman Sachs,Q3 2026,2026-10-13,BMO,estimated,Q3 2026 日历季度
MS,Morgan Stanley,Q1 2026,2026-04-15,BMO,reported,Q1 2026 日历季度
MS,Morgan Stanley,Q2 2026,2026-07-15,BMO,estimated,Q2 2026 日历季度
MS,Morgan Stanley,Q3 2026,2026-10-14,BMO,estimated,Q3 2026 日历季度
BAC,Bank of America,Q1 2026,2026-04-15,BMO,reported,Q1 2026 日历季度
BAC,Bank of America,Q2 2026,2026-07-14,BMO,estimated,Q2 2026 日历季度
BAC,Bank of America,Q3 2026,2026-10-13,BMO,estimated,Q3 2026 日历季度
BLK,BlackRock,Q1 2026,2026-04-11,BMO,reported,Q1 2026 日历季度
BLK,BlackRock,Q2 2026,2026-07-11,BMO,estimated,Q2 2026 日历季度
BX,Blackstone,Q1 2026,2026-04-17,BMO,reported,Q1 2026 日历季度
BX,Blackstone,Q2 2026,2026-07-16,AMC,estimated,Q2 2026 日历季度
KKR,KKR & Co,Q1 2026,2026-05-01,AMC,reported,Q1 2026 日历季度
KKR,KKR & Co,Q2 2026,2026-07-30,AMC,estimated,Q2 2026 日历季度
APO,Apollo Global Management,Q1 2026,2026-05-02,AMC,reported,Q1 2026 日历季度
APO,Apollo Global Management,Q2 2026,2026-07-31,AMC,estimated,Q2 2026 日历季度
ORCL,Oracle,Q3 FY2026,2026-03-10,AMC,reported,Q3 FY2026 — 2月季度；云增长
ORCL,Oracle,Q4 FY2026,2026-06-10,AMC,estimated,Q4 FY2026 — 5月季度
ORCL,Oracle,Q1 FY2027,2026-09-09,AMC,estimated,Q1 FY2027
CRM,Salesforce,Q1 FY2027,2026-05-27,AMC,estimated,Q1 FY2027 — 4月季度
CRM,Salesforce,Q2 FY2027,2026-08-26,AMC,estimated,Q2 FY2027
NOW,ServiceNow,Q1 2026,2026-04-23,AMC,reported,Q1 2026 日历季度
NOW,ServiceNow,Q2 2026,2026-07-22,AMC,estimated,Q2 2026 日历季度
ANET,Arista Networks,Q1 2026,2026-04-29,AMC,reported,Q1 2026 日历季度
ANET,Arista Networks,Q2 2026,2026-07-28,AMC,estimated,Q2 2026 日历季度
CSCO,Cisco Systems,Q3 FY2026,2026-05-13,AMC,reported,Q3 FY2026 — 4月季度
CSCO,Cisco Systems,Q4 FY2026,2026-08-12,AMC,estimated,Q4 FY2026
COHR,Coherent Corp,Q3 FY2026,2026-05-06,AMC,reported,Q3 FY2026 — 3月季度；800G受益
COHR,Coherent Corp,Q4 FY2026,2026-08-05,AMC,estimated,Q4 FY2026
LITE,Lumentum,Q3 FY2026,2026-05-07,AMC,reported,Q3 FY2026 — 3月季度
LITE,Lumentum,Q4 FY2026,2026-08-12,AMC,estimated,Q4 FY2026
EQIX,Equinix,Q1 2026,2026-04-29,AMC,reported,Q1 2026 日历季度；数据中心REIT
EQIX,Equinix,Q2 2026,2026-07-30,AMC,estimated,Q2 2026 日历季度
DLR,Digital Realty,Q1 2026,2026-04-24,AMC,reported,Q1 2026 日历季度
DLR,Digital Realty,Q2 2026,2026-07-23,AMC,estimated,Q2 2026 日历季度
SMCI,Super Micro Computer,Q3 FY2026,2026-05-06,AMC,reported,Q3 FY2026 — 3月季度；AI服务器
SMCI,Super Micro Computer,Q4 FY2026,2026-08-05,AMC,estimated,Q4 FY2026
VRT,Vertiv Holdings,Q1 2026,2026-04-23,BMO,reported,Q1 2026 日历季度；散热backlog
VRT,Vertiv Holdings,Q2 2026,2026-07-22,BMO,estimated,Q2 2026 日历季度
DELL,Dell Technologies,Q1 FY2027,2026-05-28,AMC,estimated,Q1 FY2027 — 4月季度
DELL,Dell Technologies,Q2 FY2027,2026-08-26,AMC,estimated,Q2 FY2027
HPE,HP Enterprise,Q2 FY2026,2026-05-27,AMC,reported,Q2 FY2026 — 4月季度
HPE,HP Enterprise,Q3 FY2026,2026-08-26,AMC,estimated,Q3 FY2026
CEG,Constellation Energy,Q1 2026,2026-05-07,AMC,reported,Q1 2026 日历季度；核电PPA
CEG,Constellation Energy,Q2 2026,2026-08-05,AMC,estimated,Q2 2026 日历季度
VST,Vistra Corp,Q1 2026,2026-05-07,AMC,reported,Q1 2026 日历季度
VST,Vistra Corp,Q2 2026,2026-08-05,AMC,estimated,Q2 2026 日历季度
GEV,GE Vernova,Q1 2026,2026-04-23,BMO,reported,Q1 2026 日历季度；$200B+ backlog
GEV,GE Vernova,Q2 2026,2026-07-22,BMO,estimated,Q2 2026 日历季度
ETN,Eaton Corporation,Q1 2026,2026-04-29,BMO,reported,Q1 2026 日历季度
ETN,Eaton Corporation,Q2 2026,2026-07-28,BMO,estimated,Q2 2026 日历季度
PWR,Quanta Services,Q1 2026,2026-05-01,AMC,reported,Q1 2026 日历季度
PWR,Quanta Services,Q2 2026,2026-07-30,AMC,estimated,Q2 2026 日历季度
XOM,Exxon Mobil,Q1 2026,2026-04-25,BMO,reported,Q1 2026 日历季度
XOM,Exxon Mobil,Q2 2026,2026-07-31,BMO,estimated,Q2 2026 日历季度
CVX,Chevron,Q1 2026,2026-05-02,BMO,reported,Q1 2026 日历季度
CVX,Chevron,Q2 2026,2026-08-01,BMO,estimated,Q2 2026 日历季度
PLTR,Palantir Technologies,Q1 2026,2026-05-05,AMC,reported,Q1 2026 日历季度
PLTR,Palantir Technologies,Q2 2026,2026-08-04,AMC,estimated,Q2 2026 日历季度
APP,AppLovin,Q1 2026,2026-05-07,AMC,reported,Q1 2026 日历季度
APP,AppLovin,Q2 2026,2026-08-06,AMC,estimated,Q2 2026 日历季度
