category,institution,quarter,quarter_end_date,stock_ticker,stock_company,action,value_change_usd_mn,pct_change,notes,timing_known
Core Smart Money,BlackRock,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,0,被动指数最大持仓；Q1仓位维持,披露日: 2025-05-15
Core Smart Money,BlackRock,Q1 2025,2025-03-31,AAPL,Apple,Held,,0,第二大持仓稳定,披露日: 2025-05-15
Core Smart Money,BlackRock,Q1 2025,2025-03-31,MSFT,Microsoft,Held,,0,第三大持仓,披露日: 2025-05-15
Core Smart Money,BlackRock,Q2 2025,2025-06-30,NVDA,NVIDIA,Held,,0,指数权重随市值被动调整,披露日: 2025-08-14
Core Smart Money,BlackRock,Q2 2025,2025-06-30,AAPL,Apple,Held,,0,持仓稳定,披露日: 2025-08-14
Core Smart Money,BlackRock,Q3 2025,2025-09-30,CMG,Chipotle Mexican Grill,Added,6700,,大幅加仓,披露日: 2025-11-14
Core Smart Money,BlackRock,Q3 2025,2025-09-30,MSFT,Microsoft,Added,3500,,云/AI加仓,披露日: 2025-11-14
Core Smart Money,BlackRock,Q3 2025,2025-09-30,XOM,Exxon Mobil,Added,3400,,能源加仓,披露日: 2025-11-14
Core Smart Money,BlackRock,Q3 2025,2025-09-30,GEV,GE Vernova,Added,3100,,电力基础设施加仓,披露日: 2025-11-14
Core Smart Money,BlackRock,Q3 2025,2025-09-30,AAPL,Apple,Added,2900,,第二大持仓加仓,披露日: 2025-11-14
Core Smart Money,BlackRock,Q3 2025,2025-09-30,SPY,SPDR S&P 500 ETF,Reduced,-9900,,大幅减持宽指,披露日: 2025-11-14
Core Smart Money,BlackRock,Q3 2025,2025-09-30,AVGO,Broadcom,Reduced,-1100,,半导体小幅减仓,披露日: 2025-11-14
Core Smart Money,BlackRock,Q3 2025,2025-09-30,ABBV,AbbVie,Reduced,-1100,,医药减仓,披露日: 2025-11-14
Core Smart Money,Goldman Sachs,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,0,前五大持仓,披露日: 2025-05-15
Core Smart Money,Goldman Sachs,Q1 2025,2025-03-31,SPY,SPDR S&P 500 ETF,Held,,0,大型机构标配,披露日: 2025-05-15
Core Smart Money,Goldman Sachs,Q2 2025,2025-06-30,NVDA,NVIDIA,Held,,,Q2 持仓基本稳定,披露日: 2025-08-14
Core Smart Money,Goldman Sachs,Q3 2025,2025-09-30,NVDA,NVIDIA,Added,,,Q3继续增持AI核心,披露日: 2025-11-14
Core Smart Money,Goldman Sachs,Q3 2025,2025-09-30,TSLA,Tesla,Added,,,加仓,披露日: 2025-11-14
Core Smart Money,JPMorgan Chase,Q1 2025,2025-03-31,NVDA,NVIDIA,Added,,,逐步建成最大持仓,披露日: 2025-05-15
Core Smart Money,JPMorgan Chase,Q2 2025,2025-06-30,NVDA,NVIDIA,Added,,,继续加仓至$91B规模,披露日: 2025-08-14
Core Smart Money,JPMorgan Chase,Q2 2025,2025-06-30,MSFT,Microsoft,Held,,0,第二大持仓,披露日: 2025-08-14
Core Smart Money,JPMorgan Chase,Q3 2025,2025-09-30,NVDA,NVIDIA,Held,,0,最大持仓$91B (489M股) 确认,披露日: 2025-11-14
Core Smart Money,JPMorgan Chase,Q3 2025,2025-09-30,SPY,SPDR S&P 500 ETF,Reduced,,-14,指数ETF减仓14%,披露日: 2025-11-14
Core Smart Money,JPMorgan Chase,Q3 2025,2025-09-30,AMZN,Amazon.com,Reduced,,,云/Mag7轮换,披露日: 2025-11-14
Core Smart Money,JPMorgan Chase,Q3 2025,2025-09-30,META,Meta Platforms,Reduced,,,小幅减仓,披露日: 2025-11-14
Core Smart Money,JPMorgan Chase,Q3 2025,2025-09-30,NFLX,Netflix,Reduced,,,获利了结,披露日: 2025-11-14
Core Smart Money,Morgan Stanley,Q1 2025,2025-03-31,NVDA,NVIDIA,Reduced,,,Q2 2025减仓$3.8B开始,披露日: 2025-05-15
Core Smart Money,Morgan Stanley,Q2 2025,2025-06-30,NVDA,NVIDIA,Reduced,-3800,,最大减仓,披露日: 2025-08-14
Core Smart Money,Morgan Stanley,Q2 2025,2025-06-30,MSFT,Microsoft,Reduced,-3200,,第二大减仓,披露日: 2025-08-14
Core Smart Money,Morgan Stanley,Q2 2025,2025-06-30,UNH,UnitedHealth Group,Reduced,-2000,,医疗减仓,披露日: 2025-08-14
Core Smart Money,Morgan Stanley,Q2 2025,2025-06-30,AMZN,Amazon.com,Reduced,-1500,,云计算减仓,披露日: 2025-08-14
Core Smart Money,Morgan Stanley,Q2 2025,2025-06-30,ORCL,Oracle,Added,1800,,云基础设施加仓,披露日: 2025-08-14
Core Smart Money,Morgan Stanley,Q2 2025,2025-06-30,GOOGL,Alphabet,Added,1700,,AI搜索加仓,披露日: 2025-08-14
Core Smart Money,Morgan Stanley,Q2 2025,2025-06-30,MSTR,MicroStrategy,Added,1600,,比特币代理仓位,披露日: 2025-08-14
Core Smart Money,Morgan Stanley,Q3 2025,2025-09-30,AAPL,Apple,Held,,0,最大持仓维持,披露日: 2025-11-14
Core Smart Money,Morgan Stanley,Q3 2025,2025-09-30,NVDA,NVIDIA,Held,,0,Q3趋于稳定,披露日: 2025-11-14
13F Hedge Funds,Citadel Advisors,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,,Q1仓位稳定，量化对冲策略,披露日: 2025-05-15
13F Hedge Funds,Citadel Advisors,Q1 2025,2025-03-31,MSFT,Microsoft,Held,,,Q1持仓,披露日: 2025-05-15
13F Hedge Funds,Citadel Advisors,Q2 2025,2025-06-30,NVDA,NVIDIA,Held,,,Q2 组合总值 ~$618B,披露日: 2025-08-14
13F Hedge Funds,Citadel Advisors,Q3 2025,2025-09-30,MSFT,Microsoft,Added,1030,+100,翻倍至第一大持仓$2.06B，加仓199万股,披露日: 2025-11-14
13F Hedge Funds,Citadel Advisors,Q3 2025,2025-09-30,META,Meta Platforms,New Position,1430,,新建仓195万股 $1.43B（+12693%）,披露日: 2025-11-14
13F Hedge Funds,Citadel Advisors,Q3 2025,2025-09-30,AAPL,Apple,Added,652,+100,翻倍，加仓256万股,披露日: 2025-11-14
13F Hedge Funds,Citadel Advisors,Q3 2025,2025-09-30,TSLA,Tesla,Added,489,+279,加仓110万股,披露日: 2025-11-14
13F Hedge Funds,Citadel Advisors,Q3 2025,2025-09-30,GOOGL,Alphabet,Added,304,+200,加仓125万股,披露日: 2025-11-14
13F Hedge Funds,Citadel Advisors,Q3 2025,2025-09-30,NVDA,NVIDIA,Added,323,+21,加仓173万股,披露日: 2025-11-14
13F Hedge Funds,Two Sigma Investments,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,,量化策略，Q1持仓,披露日: 2025-05-15
13F Hedge Funds,Two Sigma Investments,Q2 2025,2025-06-30,NVDA,NVIDIA,Held,,,Q2持仓 $70.9B总规模,披露日: 2025-08-14
13F Hedge Funds,Two Sigma Investments,Q3 2025,2025-09-30,XLF,Financial Select Sector SPDR,Held,,,Q3继续持有金融ETF,披露日: 2025-11-14
13F Hedge Funds,Two Sigma Investments,Q3 2025,2025-09-30,XLK,Tech Select Sector SPDR,Reduced,,,Q3科技ETF减仓,披露日: 2025-11-14
13F Hedge Funds,Renaissance Technologies,Q1 2025,2025-03-31,NOW,ServiceNow,New Position,217,,新建仓27.2万股，云AI核心,披露日: 2025-05-15
13F Hedge Funds,Renaissance Technologies,Q1 2025,2025-03-31,MSFT,Microsoft,New Position,145,,新建仓，Azure/AI布局,披露日: 2025-05-15
13F Hedge Funds,Renaissance Technologies,Q1 2025,2025-03-31,PLTR,Palantir,Held,,0,最大持仓维持,披露日: 2025-05-15
13F Hedge Funds,Renaissance Technologies,Q1 2025,2025-03-31,NVDA,NVIDIA,Added,,,AI芯片加仓,披露日: 2025-05-15
13F Hedge Funds,Renaissance Technologies,Q2 2025,2025-06-30,NVDA,NVIDIA,Added,,,继续加仓AI芯片；组合升至$75B,披露日: 2025-08-14
13F Hedge Funds,Renaissance Technologies,Q2 2025,2025-06-30,NFLX,Netflix,Added,,,流媒体加仓,披露日: 2025-08-14
13F Hedge Funds,Renaissance Technologies,Q2 2025,2025-06-30,GEV,GE Vernova,Added,,,电力新基建加仓,披露日: 2025-08-14
13F Hedge Funds,Renaissance Technologies,Q2 2025,2025-06-30,APP,AppLovin,Added,,,广告科技加仓,披露日: 2025-08-14
13F Hedge Funds,Renaissance Technologies,Q2 2025,2025-06-30,PLTR,Palantir,Reduced,,,量化获利了结,披露日: 2025-08-14
13F Hedge Funds,Renaissance Technologies,Q2 2025,2025-06-30,META,Meta Platforms,Reduced,,,减仓,披露日: 2025-08-14
13F Hedge Funds,Renaissance Technologies,Q2 2025,2025-06-30,GOOGL,Alphabet,Reduced,,,减仓,披露日: 2025-08-14
13F Hedge Funds,Renaissance Technologies,Q2 2025,2025-06-30,HOOD,Robinhood,Reduced,,,金融科技获利了结,披露日: 2025-08-14
13F Hedge Funds,Renaissance Technologies,Q3 2025,2025-09-30,GOOGL,Alphabet,Added,,,大幅反转加仓,披露日: 2025-11-14
13F Hedge Funds,Renaissance Technologies,Q3 2025,2025-09-30,RBLX,Roblox,Added,,,元宇宙/游戏加仓,披露日: 2025-11-14
13F Hedge Funds,Renaissance Technologies,Q3 2025,2025-09-30,MSFT,Microsoft,Added,,,云AI加仓,披露日: 2025-11-14
13F Hedge Funds,Renaissance Technologies,Q3 2025,2025-09-30,TSM,Taiwan Semiconductor,Added,,,供应链加仓,披露日: 2025-11-14
13F Hedge Funds,Renaissance Technologies,Q3 2025,2025-09-30,META,Meta Platforms,Added,,,Q2减仓后反转加仓,披露日: 2025-11-14
13F Hedge Funds,Renaissance Technologies,Q3 2025,2025-09-30,PLTR,Palantir,Reduced,,,继续获利了结,披露日: 2025-11-14
13F Hedge Funds,Renaissance Technologies,Q3 2025,2025-09-30,NVDA,NVIDIA,Reduced,,,量化策略减仓,披露日: 2025-11-14
13F Hedge Funds,Renaissance Technologies,Q3 2025,2025-09-30,APP,AppLovin,Reduced,,,广告科技获利了结,披露日: 2025-11-14
13F Hedge Funds,Millennium Management,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,,多策略基金，Q1持仓,披露日: 2025-05-15
13F Hedge Funds,Millennium Management,Q2 2025,2025-06-30,NVDA,NVIDIA,Held,,,Q2 $238B AUM，广泛持仓,披露日: 2025-08-14
13F Hedge Funds,Millennium Management,Q3 2025,2025-09-30,IWM,iShares Russell 2000 ETF,Added,3000,,最大加仓，小盘股轮换,披露日: 2025-11-14
13F Hedge Funds,Millennium Management,Q3 2025,2025-09-30,NVDA,NVIDIA,Added,2000,,AI芯片核心仓位,披露日: 2025-11-14
13F Hedge Funds,Millennium Management,Q3 2025,2025-09-30,AAPL,Apple,Added,1800,,防御性大市值,披露日: 2025-11-14
13F Hedge Funds,Millennium Management,Q3 2025,2025-09-30,SPY,SPDR S&P 500 ETF,Reduced,-3400,,指数对冲减仓,披露日: 2025-11-14
13F Hedge Funds,Millennium Management,Q3 2025,2025-09-30,APP,AppLovin,Reduced,-1900,,广告科技获利了结,披露日: 2025-11-14
13F Hedge Funds,Millennium Management,Q3 2025,2025-09-30,PLTR,Palantir,Reduced,-792,,AI概念获利了结,披露日: 2025-11-14
13F Hedge Funds,Millennium Management,Q3 2025,2025-09-30,ORCL,Oracle,Reduced,-637,,云减仓,披露日: 2025-11-14
13F Hedge Funds,Point72 Asset Management,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,,Q1 $44.6B 总规模,披露日: 2025-05-15
13F Hedge Funds,Point72 Asset Management,Q2 2025,2025-06-30,MSFT,Microsoft,Held,,0,最大持仓$1.21B,披露日: 2025-08-14
13F Hedge Funds,Point72 Asset Management,Q2 2025,2025-06-30,AMZN,Amazon.com,Held,,0,$1.05B,披露日: 2025-08-14
13F Hedge Funds,Point72 Asset Management,Q2 2025,2025-06-30,NVDA,NVIDIA,Held,,0,$1.01B,披露日: 2025-08-14
13F Hedge Funds,Point72 Asset Management,Q2 2025,2025-06-30,SNOW,Snowflake,Held,,0,$599M 第四大持仓,披露日: 2025-08-14
13F Hedge Funds,Point72 Asset Management,Q3 2025,2025-09-30,NVDA,NVIDIA,Added,,+12.8,加仓82万股至$1.35B,披露日: 2025-11-14
13F Hedge Funds,Point72 Asset Management,Q3 2025,2025-09-30,TSM,Taiwan Semiconductor,Added,,+28.2,加仓40万股，AI供应链,披露日: 2025-11-14
13F Hedge Funds,Point72 Asset Management,Q3 2025,2025-09-30,QQQ,Invesco QQQ ETF Puts,Added,,+2863,大规模对冲头寸，防范科技下行,披露日: 2025-11-14
13F Hedge Funds,Point72 Asset Management,Q3 2025,2025-09-30,AMZN,Amazon.com,Reduced,,-34.8,大幅削减，降至$685M,披露日: 2025-11-14
13F Hedge Funds,Point72 Asset Management,Q3 2025,2025-09-30,ANET,Arista Networks,Reduced,,-20.5,仍持$803M,披露日: 2025-11-14
13F Hedge Funds,Bridgewater Associates,Q1 2025,2025-03-31,SPY,SPDR S&P 500 ETF,Held,,0,最大持仓，全天候策略,披露日: 2025-05-15
13F Hedge Funds,Bridgewater Associates,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,,AI核心持仓,披露日: 2025-05-15
13F Hedge Funds,Bridgewater Associates,Q2 2025,2025-06-30,SPY,SPDR S&P 500 ETF,Held,,0,宏观对冲基金广泛持仓,披露日: 2025-08-14
13F Hedge Funds,Bridgewater Associates,Q3 2025,2025-09-30,SPY,SPDR S&P 500 ETF,Held,,0,全天候策略核心仓位,披露日: 2025-11-14
13F Hedge Funds,Bridgewater Associates,Q3 2025,2025-09-30,NVDA,NVIDIA,Added,,,AI核心加仓,披露日: 2025-11-14
13F Hedge Funds,Bridgewater Associates,Q3 2025,2025-09-30,AMZN,Amazon.com,Added,,,云计算加仓,披露日: 2025-11-14
13F Hedge Funds,DE Shaw,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,,量化多因子，$182B+，4500+持仓,披露日: 2025-05-15
13F Hedge Funds,DE Shaw,Q2 2025,2025-06-30,AAPL,Apple,Held,,,广泛分散持仓,披露日: 2025-08-14
13F Hedge Funds,DE Shaw,Q3 2025,2025-09-30,NVDA,NVIDIA,Held,,,量化策略，广泛分散,披露日: 2025-11-14
13F Hedge Funds,Pershing Square,Q1 2025,2025-03-31,UBER,Uber Technologies,Held,,0,最大持仓,披露日: 2025-05-15
13F Hedge Funds,Pershing Square,Q1 2025,2025-03-31,BN,Brookfield Corp,Added,,,加仓，升至前二,披露日: 2025-05-15
13F Hedge Funds,Pershing Square,Q1 2025,2025-03-31,HTZ,Hertz,New Position,,,新建仓汽车租赁复苏押注,披露日: 2025-05-15
13F Hedge Funds,Pershing Square,Q1 2025,2025-03-31,NKE,Nike,Exited,,-100,清仓，改持认购期权,披露日: 2025-05-15
13F Hedge Funds,Pershing Square,Q1 2025,2025-03-31,GOOGL,Alphabet,Held,,0,前三大持仓,披露日: 2025-05-15
13F Hedge Funds,Pershing Square,Q2 2025,2025-06-30,AMZN,Amazon.com,New Position,,,大幅新建仓，成为核心持仓；组合$13.73B,披露日: 2025-08-14
13F Hedge Funds,Pershing Square,Q2 2025,2025-06-30,BN,Brookfield Corp,Added,,,继续加仓,披露日: 2025-08-14
13F Hedge Funds,Pershing Square,Q2 2025,2025-06-30,GOOGL,Alphabet,Added,,,加仓,披露日: 2025-08-14
13F Hedge Funds,Pershing Square,Q2 2025,2025-06-30,CP,Canadian Pacific Kansas City,Exited,,-100,铁路仓位清仓,披露日: 2025-08-14
13F Hedge Funds,Pershing Square,Q3 2025,2025-09-30,AMZN,Amazon.com,Held,,0,Q2新仓维持不变；组合$14.64B,披露日: 2025-11-14
13F Hedge Funds,Pershing Square,Q3 2025,2025-09-30,UBER,Uber Technologies,Held,,0,最大持仓基本不变,披露日: 2025-11-14
13F Hedge Funds,Pershing Square,Q3 2025,2025-09-30,BN,Brookfield Corp,Held,,0,第二大持仓,披露日: 2025-11-14
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,AAPL,Apple,Added,278,,加仓$2.78亿,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,UBER,Uber Technologies,Added,124,,加仓$1.24亿,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,AVGO,Broadcom,New Position,,,AI芯片网络新仓,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,SMH,VanEck Semiconductor ETF,New Position,,,半导体ETF新仓,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,BABA,Alibaba Group,Reduced,-346,,中概股减仓$3.46亿,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,MSFT,Microsoft,Reduced,-173,,减仓微软,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,AMD,Advanced Micro Devices,Reduced,-145,,芯片获利了结,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,PDD,PDD Holdings,Reduced,-117,,中概股减仓,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q1 2025,2025-03-31,JD,JD.com,Reduced,-99,,中概股减仓,披露日: 2025-05-15
13F Hedge Funds,Appaloosa Management,Q2 2025,2025-06-30,BABA,Alibaba Group,Reduced,,,继续减中概，BABA仍为最大持仓,披露日: 2025-08-14
13F Hedge Funds,Appaloosa Management,Q2 2025,2025-06-30,NVDA,NVIDIA,Reduced,,,AI股获利了结开始,披露日: 2025-08-14
13F Hedge Funds,Appaloosa Management,Q3 2025,2025-09-30,BABA,Alibaba Group,Reduced,,-8.7,仍为最大持仓15.61%，645万股,披露日: 2025-11-14
13F Hedge Funds,Appaloosa Management,Q3 2025,2025-09-30,NVDA,NVIDIA,Reduced,,,持续减仓AI股,披露日: 2025-11-14
13F Hedge Funds,Appaloosa Management,Q3 2025,2025-09-30,MU,Micron Technology,Added,,,开始建半导体周期仓,披露日: 2025-11-14
13F Hedge Funds,Third Point,Q1 2025,2025-03-31,PCG,PG&E Corporation,Held,,0,最大持仓；组合$6.53B,披露日: 2025-05-15
13F Hedge Funds,Third Point,Q1 2025,2025-03-31,AMZN,Amazon.com,Held,,0,第二大持仓,披露日: 2025-05-15
13F Hedge Funds,Third Point,Q1 2025,2025-03-31,TSM,Taiwan Semiconductor,Held,,0,第三大持仓,披露日: 2025-05-15
13F Hedge Funds,Third Point,Q1 2025,2025-03-31,LYV,Live Nation Entertainment,Held,,0,前五持仓,披露日: 2025-05-15
13F Hedge Funds,Third Point,Q2 2025,2025-06-30,AMZN,Amazon.com,Added,,,大幅加仓,披露日: 2025-08-14
13F Hedge Funds,Third Point,Q2 2025,2025-06-30,NVDA,NVIDIA,Added,,,大幅加仓；组合$7.62B,披露日: 2025-08-14
13F Hedge Funds,Third Point,Q2 2025,2025-06-30,COF,Capital One Financial,Added,,,金融加仓,披露日: 2025-08-14
13F Hedge Funds,Third Point,Q2 2025,2025-06-30,FLUT,Flutter Entertainment,Added,,,博彩加仓,披露日: 2025-08-14
13F Hedge Funds,Third Point,Q2 2025,2025-06-30,META,Meta Platforms,New Position,,,社交AI新仓,披露日: 2025-08-14
13F Hedge Funds,Third Point,Q2 2025,2025-06-30,CSGP,CoStar Group,New Position,,,地产数据新仓,披露日: 2025-08-14
13F Hedge Funds,Third Point,Q2 2025,2025-06-30,COOP,Mr. Cooper Group,New Position,,,住房金融新仓,披露日: 2025-08-14
13F Hedge Funds,Third Point,Q2 2025,2025-06-30,DHR,Danaher,New Position,,,生命科学新仓,披露日: 2025-08-14
13F Hedge Funds,Third Point,Q3 2025,2025-09-30,MSFT,Microsoft,Added,,+175,大幅加仓175%；组合$8.99B,披露日: 2025-11-14
13F Hedge Funds,Third Point,Q3 2025,2025-09-30,META,Meta Platforms,Added,,+47,社交AI加仓,披露日: 2025-11-14
13F Hedge Funds,Third Point,Q3 2025,2025-09-30,CASY,Casey's General Stores,Added,,+40,便利店连锁加仓,披露日: 2025-11-14
13F Hedge Funds,Third Point,Q3 2025,2025-09-30,SPY,SPDR S&P 500 ETF Puts,New Position,,,大型空头对冲建仓,披露日: 2025-11-14
13F Hedge Funds,Third Point,Q3 2025,2025-09-30,NVDA,NVIDIA,Added,,,连续第2季加仓,披露日: 2025-11-14
13F Hedge Funds,Third Point,Q3 2025,2025-09-30,PCG,PG&E Corporation,Held,,0,最大持仓,披露日: 2025-11-14
Alternative Assets,Blackstone,Q1 2025,2025-03-31,PRIVATE MARKETS,私募市场,Held,,,私募PE/信贷，无公开股权13F季度明细,披露日: 2025-05-15
Alternative Assets,KKR,Q1 2025,2025-03-31,PRIVATE MARKETS,私募市场,Held,,,私募PE/信贷,披露日: 2025-05-15
Alternative Assets,Apollo Global Management,Q1 2025,2025-03-31,PRIVATE MARKETS,私募市场,Held,,,信贷为主策略,披露日: 2025-05-15
Alternative Assets,Blackstone,Q2 2025,2025-06-30,PRIVATE MARKETS,私募市场,Held,,,私募PE/信贷，无公开股权13F季度明细,披露日: 2025-08-14
Alternative Assets,KKR,Q2 2025,2025-06-30,PRIVATE MARKETS,私募市场,Held,,,私募PE/信贷,披露日: 2025-08-14
Alternative Assets,Apollo Global Management,Q2 2025,2025-06-30,PRIVATE MARKETS,私募市场,Held,,,信贷为主策略,披露日: 2025-08-14
Alternative Assets,Blackstone,Q3 2025,2025-09-30,PRIVATE MARKETS,私募市场,Held,,,私募PE/信贷，无公开股权13F季度明细,披露日: 2025-11-14
Alternative Assets,KKR,Q3 2025,2025-09-30,PRIVATE MARKETS,私募市场,Held,,,私募PE/信贷,披露日: 2025-11-14
Alternative Assets,Apollo Global Management,Q3 2025,2025-09-30,PRIVATE MARKETS,私募市场,Held,,,信贷为主策略,披露日: 2025-11-14
Long Only Asset Managers,Vanguard,Q1 2025,2025-03-31,NVDA,NVIDIA,Held,,0,被动指数，权重随市值调整；$6.9T AUM,披露日: 2025-04-29
Long Only Asset Managers,Vanguard,Q1 2025,2025-03-31,AAPL,Apple,Held,,0,被动持有,披露日: 2025-04-29
Long Only Asset Managers,Vanguard,Q1 2025,2025-03-31,MSFT,Microsoft,Held,,0,被动持有,披露日: 2025-04-29
Long Only Asset Managers,Vanguard,Q2 2025,2025-06-30,NVDA,NVIDIA,Held,,0,被动指数，权重随市值调整；$6.9T AUM,披露日: 2025-07-29
Long Only Asset Managers,Vanguard,Q2 2025,2025-06-30,AAPL,Apple,Held,,0,被动持有,披露日: 2025-07-29
Long Only Asset Managers,Vanguard,Q2 2025,2025-06-30,MSFT,Microsoft,Held,,0,被动持有,披露日: 2025-07-29
Long Only Asset Managers,Vanguard,Q3 2025,2025-09-30,NVDA,NVIDIA,Held,,0,被动指数，权重随市值调整；$6.9T AUM,披露日: 2025-10-29
Long Only Asset Managers,Vanguard,Q3 2025,2025-09-30,AAPL,Apple,Held,,0,被动持有,披露日: 2025-10-29
Long Only Asset Managers,Vanguard,Q3 2025,2025-09-30,MSFT,Microsoft,Held,,0,被动持有,披露日: 2025-10-29
AI Core Holdings,NVIDIA,Q1 2025,2025-03-31,NVDA,NVIDIA Corp,Smart Money Buy,,,Citadel持有；JPMorgan最大仓位建立；Goldman前五；机构共识买入,披露日: 2025-05-15
AI Core Holdings,NVIDIA,Q2 2025,2025-06-30,NVDA,NVIDIA Corp,Smart Money Buy,,,Point72 $1.01B；Citadel持续；RenTec加仓；全球机构AI核心配置,披露日: 2025-08-14
AI Core Holdings,NVIDIA,Q3 2025,2025-09-30,NVDA,NVIDIA Corp,Smart Money Buy,,,Citadel +21%；Point72 +12.8%；Millennium +$2B；RenTec减仓；多头共识,披露日: 2025-11-14
AI Core Holdings,Alphabet,Q1 2025,2025-03-31,GOOGL,Alphabet Class A,Mixed Signal,,,Berkshire Q1持有；Third Point第三大仓位,披露日: 2025-05-15
AI Core Holdings,Alphabet,Q2 2025,2025-06-30,GOOGL,Alphabet Class A,Smart Money Buy,,,Berkshire Q3大幅建仓；Third Point Q2加仓；Appaloosa Q4加仓29%,披露日: 2025-08-14
AI Core Holdings,Alphabet,Q3 2025,2025-09-30,GOOGL,Alphabet Class A,Smart Money Buy,,,Berkshire加至$4.3B；RenTec Q3大幅加仓；Citadel +200%,披露日: 2025-11-14
Core Smart Money,Berkshire Hathaway,Q4 2025,2025-12-31,AMZN,Amazon.com,Reduced,,-77,从0.82%大幅削减至0.02%，仅剩极少量,披露日: 2026-02-14
Core Smart Money,Berkshire Hathaway,Q4 2025,2025-12-31,AAPL,Apple,Reduced,,,继续削减苹果持仓（238M→228M股）,披露日: 2026-02-14
Core Smart Money,Berkshire Hathaway,Q4 2025,2025-12-31,BAC,Bank of America,Reduced,,,大幅减持，同期现金储备超3000亿,披露日: 2026-02-14
Core Smart Money,Berkshire Hathaway,Q4 2025,2025-12-31,NYT,New York Times,New Position,351.7,,新建仓 510万股 约3.5亿美元,披露日: 2026-02-14
Core Smart Money,Berkshire Hathaway,Q4 2025,2025-12-31,CVX,Chevron,Added,,,从1.22亿增至1.30亿股，持仓6.2%,披露日: 2026-02-14
Core Smart Money,Berkshire Hathaway,Q4 2025,2025-12-31,CB,Chubb,Added,,,积极加仓，持仓比例约8.5%,披露日: 2026-02-14
